Date,Open,High,Low,Close,Volume,Adj Close
2014-08-07,20319.410156,20407.089844,20164.160156,20216.380859,000,20216.380859
2014-08-06,20320.470703,20404.550781,20218.439453,20319.410156,000,20319.410156
2014-08-05,20501.199219,20501.199219,20247.480469,20320.470703,000,20320.470703
2014-08-04,20345.990234,20538.230469,20302.449219,20501.199219,000,20501.199219
2014-08-01,20410.810547,20477.869141,20247.029297,20346.009766,000,20346.009766
2014-07-31,20830.539062,20830.539062,20410.740234,20410.810547,000,20410.810547
2014-07-30,20816.359375,20919.560547,20752.640625,20830.539062,000,20830.539062
2014-07-29,20895.050781,20964.179688,20816.359375,20816.359375,000,20816.359375
2014-07-28,20907.169922,20925.650391,20780.00,20895.050781,000,20895.050781
2014-07-25,21021.060547,21021.060547,20867.00,20907.169922,000,20907.169922
2014-07-24,21010.599609,21068.039062,20996.419922,21021.060547,000,21021.060547
2014-07-23,20972.800781,21037.869141,20964.480469,21010.599609,000,21010.599609
2014-07-22,20861.570312,21005.429688,20861.570312,20972.800781,000,20972.800781
2014-07-21,20912.560547,20912.560547,20775.019531,20861.570312,000,20861.570312
2014-07-18,20687.689453,20926.919922,20687.689453,20912.560547,000,20912.560547
2014-07-17,20934.199219,20938.199219,20659.029297,20687.689453,000,20687.689453
2014-07-16,20865.849609,20979.189453,20865.849609,20934.199219,000,20934.199219
2014-07-15,20927.259766,20980.310547,20780.470703,20865.849609,000,20865.849609
2014-07-14,20828.869141,20963.550781,20828.869141,20927.259766,000,20927.259766
2014-07-11,20805.669922,20841.380859,20746.929688,20828.859375,000,20828.859375
2014-07-10,20903.699219,20903.699219,20666.929688,20805.669922,000,20805.669922
2014-07-09,20808.689453,20916.150391,20808.689453,20903.699219,000,20903.699219
2014-07-08,20979.359375,20979.359375,20753.380859,20808.689453,000,20808.689453
2014-07-07,21107.539062,21107.539062,20957.390625,20979.359375,000,20979.359375
2014-07-03,20997.109375,21108.119141,20997.109375,21107.539062,000,21107.539062
2014-07-02,21008.859375,21034.929688,20979.689453,20997.109375,000,20997.109375
2014-07-01,20862.839844,21070.570312,20862.839844,21008.859375,000,21008.859375
2014-06-30,20846.00,20888.779297,20824.900391,20862.740234,000,20862.740234
2014-06-27,20789.380859,20852.769531,20755.470703,20846.00,000,20846.00
2014-06-26,20810.019531,20812.460938,20657.980469,20789.380859,000,20789.380859
2014-06-25,20710.919922,20820.560547,20663.880859,20810.019531,000,20810.019531
2014-06-24,20837.519531,20909.480469,20678.509766,20743.929688,000,20743.929688
2014-06-23,20834.759766,20851.970703,20800.650391,20837.519531,000,20837.519531
2014-06-20,20796.490234,20838.740234,20796.169922,20834.759766,000,20834.759766
2014-06-19,20767.839844,20806.859375,20717.800781,20796.490234,000,20796.490234
2014-06-18,20621.470703,20775.390625,20587.369141,20767.839844,000,20767.839844
2014-06-17,20555.810547,20644.070312,20511.419922,20621.470703,000,20621.470703
2014-06-16,20532.980469,20582.570312,20473.900391,20555.810547,000,20555.810547
2014-06-13,20469.859375,20545.859375,20429.539062,20532.980469,000,20532.980469
2014-06-12,20612.230469,20612.230469,20422.529297,20469.859375,000,20469.859375
2014-06-11,20686.140625,20686.140625,20566.339844,20612.230469,000,20612.230469
2014-06-10,20697.599609,20697.599609,20616.800781,20686.140625,000,20686.140625
2014-06-09,20661.859375,20748.50,20648.140625,20697.599609,000,20697.599609
2014-06-06,20557.519531,20665.839844,20557.519531,20661.859375,000,20661.859375
2014-06-05,20399.689453,20569.039062,20347.060547,20557.519531,000,20557.519531
2014-06-04,20347.550781,20407.349609,20282.199219,20399.689453,000,20399.689453
2014-06-03,20361.029297,20361.029297,20281.960938,20347.550781,000,20347.550781
2014-06-02,20348.349609,20371.650391,20253.660156,20361.029297,000,20361.029297
2014-05-30,20332.990234,20353.949219,20279.939453,20348.349609,000,20348.349609
2014-05-29,20229.910156,20333.039062,20228.679688,20332.990234,000,20332.990234
2014-05-28,20258.820312,20275.029297,20192.050781,20229.910156,000,20229.910156
2014-05-27,20123.50,20261.570312,20123.50,20258.820312,000,20258.820312
2014-05-23,20024.769531,20130.460938,20024.769531,20123.50,000,20123.50
2014-05-22,19957.349609,20066.900391,19938.289062,20024.769531,000,20024.769531
2014-05-21,19805.740234,19966.470703,19805.740234,19957.349609,000,19957.349609
2014-05-20,19954.380859,19954.380859,19753.669922,19805.740234,000,19805.740234
2014-05-19,19863.960938,19962.529297,19807.439453,19954.380859,000,19954.380859
2014-05-16,19789.380859,19865.929688,19716.529297,19863.960938,000,19863.960938
2014-05-15,19966.910156,19966.910156,19673.179688,19789.380859,000,19789.380859
2014-05-14,20079.529297,20079.529297,19939.929688,19966.910156,000,19966.910156
2014-05-13,20097.800781,20154.169922,20071.00,20079.529297,000,20079.529297
2014-05-12,19867.210938,20104.919922,19867.210938,20097.800781,000,20097.800781
2014-05-09,19823.810547,19867.220703,19733.669922,19867.210938,000,19867.210938
2014-05-08,19884.230469,19997.949219,19769.419922,19823.810547,000,19823.810547
2014-05-07,19796.970703,19890.490234,19679.160156,19884.230469,000,19884.230469
2014-05-06,19996.660156,19996.660156,19796.769531,19796.970703,000,19796.970703
2014-05-05,19965.980469,20005.310547,19802.080078,19996.660156,000,19996.660156
2014-05-02,19976.539062,20068.669922,19939.839844,19965.980469,000,19965.980469
2014-05-01,19959.839844,20034.199219,19899.060547,19976.539062,000,19976.539062
2014-04-30,19892.140625,19964.800781,19810.650391,19959.839844,000,19959.839844
2014-04-29,19784.699219,19916.429688,19784.699219,19892.140625,000,19892.140625
2014-04-28,19763.25,19895.339844,19580.00,19784.699219,000,19784.699219
2014-04-25,19970.119141,19970.119141,19726.589844,19763.25,000,19763.25
2014-04-24,19955.150391,20045.669922,19872.039062,19970.119141,000,19970.119141
2014-04-23,20020.550781,20023.00,19945.339844,19955.150391,000,19955.150391
2014-04-22,19908.490234,20071.929688,19908.490234,20020.550781,000,20020.550781
2014-04-21,19832.160156,19908.560547,19802.980469,19908.490234,000,19908.490234
2014-04-17,19792.300781,19881.380859,19731.990234,19832.160156,000,19832.160156
2014-04-16,19572.130859,19792.320312,19572.130859,19792.300781,000,19792.300781
2014-04-15,19454.419922,19590.529297,19268.849609,19572.130859,000,19572.130859
2014-04-14,19321.150391,19519.25,19300.539062,19454.400391,000,19454.400391
2014-04-11,19524.449219,19543.410156,19298.589844,19321.150391,000,19321.150391
2014-04-10,19962.050781,19963.460938,19491.949219,19524.449219,000,19524.449219
2014-04-09,19733.339844,19964.470703,19733.339844,19962.050781,000,19962.050781
2014-04-08,19637.269531,19765.060547,19558.990234,19733.339844,000,19733.339844
2014-04-07,19877.599609,19877.599609,19584.990234,19637.269531,000,19637.269531
2014-04-04,20162.150391,20257.189453,19850.679688,19877.599609,000,19877.599609
2014-04-03,20222.369141,20248.509766,20096.150391,20162.150391,000,20162.150391
2014-04-02,20170.240234,20242.359375,20159.300781,20222.369141,000,20222.369141
2014-04-01,19996.009766,20171.300781,19996.009766,20170.240234,000,20170.240234
2014-03-31,19809.279297,20019.029297,19809.279297,19996.009766,000,19996.009766
2014-03-28,19726.029297,19924.539062,19726.029297,19809.279297,000,19809.279297
2014-03-27,19758.980469,19805.279297,19644.220703,19726.029297,000,19726.029297
2014-03-26,19938.220703,20046.460938,19758.980469,19758.980469,000,19758.980469
2014-03-25,19878.320312,20034.849609,19839.480469,19938.220703,000,19938.220703
2014-03-24,20007.070312,20078.640625,19786.300781,19878.320312,000,19878.320312
2014-03-21,20070.460938,20188.890625,19979.740234,20007.070312,000,20007.070312
2014-03-20,19971.009766,20086.349609,19894.089844,20070.460938,000,20070.460938
2014-03-19,20101.380859,20112.060547,19863.199219,19971.009766,000,19971.009766
2014-03-18,19941.880859,20114.460938,19941.880859,20101.339844,000,20101.339844
2014-03-17,19770.779297,19991.580078,19770.779297,19941.880859,000,19941.880859
2014-03-14,19797.019531,19869.75,19751.009766,19770.779297,000,19770.779297
2014-03-13,20034.810547,20099.839844,19742.140625,19797.019531,000,19797.019531
2014-03-12,20015.910156,20034.810547,19870.75,20034.810547,000,20034.810547
2014-03-11,20133.070312,20196.929688,19974.839844,20015.910156,000,20015.910156
2014-03-10,20154.890625,20154.890625,20026.839844,20133.070312,000,20133.070312
2014-03-07,20156.699219,20226.720703,20078.060547,20154.890625,000,20154.890625
2014-03-06,20131.390625,20208.830078,20131.390625,20156.689453,000,20156.689453
2014-03-05,20133.019531,20156.740234,20102.179688,20131.390625,000,20131.390625
2014-03-04,19810.730469,20159.099609,19810.730469,20133.019531,000,20133.019531
2014-03-03,19946.839844,19946.839844,19676.849609,19810.730469,000,19810.730469
2014-02-28,19917.220703,20044.390625,19824.660156,19946.839844,000,19946.839844
2014-02-27,19818.980469,19920.029297,19776.679688,19917.220703,000,19917.220703
2014-02-26,19795.789062,19892.880859,19768.730469,19818.980469,000,19818.980469
2014-02-25,19812.580078,19878.410156,19745.130859,19795.789062,000,19795.789062
2014-02-24,19689.259766,19924.400391,19689.259766,19812.580078,000,19812.580078
2014-02-21,19710.119141,19778.50,19681.210938,19689.259766,000,19689.259766
2014-02-20,19583.169922,19737.400391,19545.880859,19710.119141,000,19710.119141
2014-02-19,19719.800781,19777.00,19566.109375,19583.169922,000,19583.169922
2014-02-18,19665.769531,19737.560547,19643.560547,19719.800781,000,19719.800781
2014-02-14,19585.689453,19692.839844,19540.369141,19665.769531,000,19665.769531
2014-02-13,19451.710938,19589.210938,19340.929688,19585.689453,000,19585.689453
2014-02-12,19441.099609,19523.199219,19411.589844,19451.710938,000,19451.710938
2014-02-11,19235.410156,19478.810547,19235.410156,19441.099609,000,19441.099609
2014-02-10,19203.910156,19237.169922,19144.050781,19235.410156,000,19235.410156
2014-02-07,18957.080078,19212.189453,18957.080078,19203.910156,000,19203.910156
2014-02-06,18738.25,18962.570312,18738.25,18957.080078,000,18957.080078
2014-02-05,18785.199219,18785.199219,18575.199219,18738.25,000,18738.25
2014-02-04,18643.099609,18824.640625,18643.099609,18785.199219,000,18785.199219
2014-02-03,19105.240234,19126.890625,18620.539062,18643.099609,000,18643.099609
2014-01-31,19218.220703,19223.779297,18991.990234,19105.240234,000,19105.240234
2014-01-30,18981.640625,19270.919922,18981.640625,19218.220703,000,19218.220703
2014-01-29,19185.699219,19185.699219,18947.679688,18981.640625,000,18981.640625
2014-01-28,19041.300781,19195.189453,19029.199219,19185.699219,000,19185.699219
2014-01-27,19168.630859,19224.380859,18936.689453,19041.300781,000,19041.300781
